week_start_date,region,ili_rate,positive_cases,flu_activity_level
2020-04-13,North,3.29,150,Medium
2020-04-20,North,4.6,193,Medium
2020-04-27,North,3.44,178,Medium
2020-05-04,North,4.83,188,Medium
2020-05-11,North,3.67,148,Medium
2020-05-18,North,4.4,190,Medium
2020-05-25,North,3.71,199,Medium
2020-06-01,North,3.95,169,Medium
2020-06-08,North,3.75,149,Medium
2020-06-15,North,3.71,144,Medium
2020-06-22,North,3.88,150,Medium
2020-06-29,North,3.96,196,Medium
2020-07-06,North,3.85,167,Medium
2020-07-13,North,3.81,201,Medium
2020-07-20,North,3.54,137,Medium
2020-07-27,North,3.76,158,Medium
2020-08-03,North,4.35,195,Medium
2020-08-10,North,3.53,156,Medium
2020-08-17,North,3.89,154,Medium
2020-08-24,North,4.21,163,Medium
2020-08-31,North,3.96,157,Medium
2020-09-07,North,4.12,219,Medium
2020-09-14,North,3.41,175,Medium
2020-09-21,North,3.89,190,Medium
2020-09-28,North,3.69,148,Medium
2020-10-05,North,3.71,173,Medium
2020-10-12,North,4.31,197,Medium
2020-10-19,North,3.71,181,Medium
2020-10-26,North,3.9,157,Medium
2020-11-02,North,3.18,143,Medium
2020-11-09,North,4.4,194,Medium
2020-11-16,North,4.1,178,Medium
2020-11-23,North,3.77,187,Medium
2020-11-30,North,3.68,199,Medium
2020-12-07,North,4.0,184,Medium
2020-12-14,North,4.21,198,Medium
2020-12-21,North,8.13,399,Very High
2020-12-28,North,7.58,356,High
2021-01-04,North,6.46,277,High
2021-01-11,North,6.36,263,High
2021-01-18,North,10.71,563,Very High
2021-01-25,North,9.79,474,Very High
2021-02-01,North,9.2,463,Very High
2021-02-08,North,8.28,446,Very High
2021-02-15,North,7.09,385,High
2021-02-22,North,6.09,292,High
2021-03-01,North,5.75,296,High
2021-03-08,North,4.57,193,Medium
2021-03-15,North,4.03,159,Medium
2021-03-22,North,4.22,201,Medium
2021-03-29,North,4.09,187,Medium
2021-04-05,North,3.83,195,Medium
2021-04-12,North,3.77,174,Medium
2021-04-19,North,2.85,153,Low
2021-04-26,North,3.74,149,Medium
2021-05-03,North,4.04,198,Medium
2021-05-10,North,3.81,194,Medium
2021-05-17,North,3.79,165,Medium
2021-05-24,North,3.59,182,Medium
2021-05-31,North,3.6,159,Medium
2021-06-07,North,3.45,140,Medium
2021-06-14,North,3.64,196,Medium
2021-06-21,North,3.13,139,Medium
2021-06-28,North,4.02,190,Medium
2021-07-05,North,3.22,164,Medium
2021-07-12,North,3.8,168,Medium
2021-07-19,North,3.97,199,Medium
2021-07-26,North,3.8,152,Medium
2021-08-02,North,4.32,210,Medium
2021-08-09,North,2.8,134,Low
2021-08-16,North,3.35,127,Medium
2021-08-23,North,3.96,206,Medium
2021-08-30,North,3.07,140,Medium
2021-09-06,North,3.23,139,Medium
2021-09-13,North,3.69,189,Medium
2021-09-20,North,3.01,165,Medium
2021-09-27,North,3.52,150,Medium
2021-10-04,North,3.67,145,Medium
2021-10-11,North,3.55,140,Medium
2021-10-18,North,3.59,138,Medium
2021-10-25,North,3.26,131,Medium
2021-11-01,North,3.57,147,Medium
2021-11-08,North,3.37,165,Medium
2021-11-15,North,3.41,129,Medium
2021-11-22,North,3.8,183,Medium
2021-11-29,North,3.05,128,Medium
2021-12-06,North,2.69,104,Low
2021-12-13,North,3.77,202,Medium
2021-12-20,North,7.05,351,High
2021-12-27,North,7.27,281,High
2022-01-03,North,4.21,169,Medium
2022-01-10,North,4.16,210,Medium
2022-01-17,North,7.29,382,High
2022-01-24,North,6.61,333,High
2022-01-31,North,5.94,253,High
2022-02-07,North,5.91,323,High
2022-02-14,North,4.52,175,Medium
2022-02-21,North,4.04,156,Medium
2022-02-28,North,3.84,192,Medium
2022-03-07,North,3.78,149,Medium
2022-03-14,North,2.93,160,Low
2022-03-21,North,2.64,135,Low
2022-03-28,North,2.63,125,Low
2022-04-04,North,2.71,146,Low
2022-04-11,North,2.39,114,Low
2022-04-18,North,2.84,139,Low
2022-04-25,North,2.83,114,Low
2022-05-02,North,2.39,107,Low
2022-05-09,North,3.11,124,Medium
2022-05-16,North,2.45,104,Low
2022-05-23,North,2.8,126,Low
2022-05-30,North,2.54,123,Low
2022-06-06,North,2.53,113,Low
2022-06-13,North,1.86,89,Low
2022-06-20,North,2.03,78,Low
2022-06-27,North,2.32,106,Low
2022-07-04,North,2.81,133,Low
2022-07-11,North,2.54,126,Low
2022-07-18,North,2.32,113,Low
2022-07-25,North,2.64,135,Low
2022-08-01,North,2.79,126,Low
2022-08-08,North,2.42,106,Low
2022-08-15,North,2.5,126,Low
2022-08-22,North,2.45,131,Low
2022-08-29,North,2.4,112,Low
2022-09-05,North,2.15,93,Low
2022-09-12,North,2.12,98,Low
2022-09-19,North,2.63,103,Low
2022-09-26,North,2.8,109,Low
2022-10-03,North,2.32,101,Low
2022-10-10,North,2.31,100,Low
2022-10-17,North,1.78,68,Low
2022-10-24,North,1.72,90,Low
2022-10-31,North,2.9,117,Low
2022-11-07,North,2.17,86,Low
2022-11-14,North,1.38,75,Low
2022-11-21,North,3.27,167,Medium
2022-11-28,North,2.22,110,Low
2022-12-05,North,1.87,83,Low
2022-12-12,North,2.45,93,Low
2022-12-19,North,5.11,239,Medium
2022-12-26,North,4.96,202,Medium
2023-01-02,North,7.79,427,High
2023-01-09,North,6.68,349,High
2023-01-16,North,12.57,507,Very High
2023-01-23,North,11.9,531,Very High
2023-01-30,North,11.01,559,Very High
2023-02-06,North,9.57,439,Very High
2023-02-13,North,8.3,340,Very High
2023-02-20,North,7.27,281,High
2023-02-27,North,6.0,257,High
2023-03-06,North,5.62,269,High
2023-03-13,North,4.39,173,Medium
2023-03-20,North,4.21,220,Medium
2023-03-27,North,4.58,224,Medium
2023-04-03,North,4.21,214,Medium
2023-04-10,North,4.24,187,Medium
2023-04-17,North,4.34,189,Medium
2023-04-24,North,4.19,193,Medium
2023-05-01,North,4.13,216,Medium
2023-05-08,North,3.99,213,Medium
2023-05-15,North,3.75,196,Medium
2023-05-22,North,3.57,166,Medium
2023-05-29,North,3.83,152,Medium
2023-06-05,North,3.98,213,Medium
2023-06-12,North,4.02,165,Medium
2023-06-19,North,4.32,178,Medium
2023-06-26,North,3.95,212,Medium
2023-07-03,North,4.2,181,Medium
2023-07-10,North,3.5,133,Medium
2023-07-17,North,4.1,204,Medium
2023-07-24,North,4.07,222,Medium
2023-07-31,North,4.47,206,Medium
2023-08-07,North,3.92,209,Medium
2023-08-14,North,3.16,171,Medium
2023-08-21,North,3.9,205,Medium
2023-08-28,North,4.26,214,Medium
2023-09-04,North,3.59,170,Medium
2023-09-11,North,4.09,222,Medium
2023-09-18,North,3.58,153,Medium
2023-09-25,North,4.64,235,Medium
2023-10-02,North,3.86,154,Medium
2023-10-09,North,3.56,182,Medium
2023-10-16,North,3.82,209,Medium
2023-10-23,North,4.09,223,Medium
2023-10-30,North,4.19,215,Medium
2023-11-06,North,4.45,211,Medium
2023-11-13,North,3.78,203,Medium
2023-11-20,North,4.27,165,Medium
2023-11-27,North,3.42,132,Medium
2023-12-04,North,3.64,180,Medium
2023-12-11,North,3.51,179,Medium
2023-12-18,North,7.72,390,High
2023-12-25,North,8.1,314,Very High
2024-01-01,North,6.6,320,High
2024-01-08,North,6.25,238,High
2024-01-15,North,11.1,549,Very High
2024-01-22,North,10.57,473,Very High
2024-01-29,North,9.47,467,Very High
2024-02-05,North,8.33,437,Very High
2024-02-12,North,8.31,436,Very High
2024-02-19,North,6.7,321,High
2024-02-26,North,5.91,252,High
2024-03-04,North,5.27,216,Medium
2024-03-11,North,4.99,218,Medium
2024-03-18,North,3.86,199,Medium
2024-03-25,North,4.82,207,Medium
2024-04-01,North,3.79,152,Medium
2024-04-08,North,4.0,219,Medium
2024-04-15,North,3.26,157,Medium
2024-04-22,North,3.72,199,Medium
2024-04-29,North,4.29,172,Medium
2024-05-06,North,4.21,164,Medium
2024-05-13,North,3.83,146,Medium
2024-05-20,North,3.32,161,Medium
2024-05-27,North,4.05,182,Medium
2024-06-03,North,3.03,153,Medium
2024-06-10,North,3.3,141,Medium
2024-06-17,North,3.59,150,Medium
2024-06-24,North,3.05,163,Medium
2024-07-01,North,3.44,173,Medium
2024-07-08,North,3.89,191,Medium
2024-07-15,North,3.37,141,Medium
2024-07-22,North,3.91,159,Medium
2024-07-29,North,4.45,211,Medium
2024-08-05,North,3.76,192,Medium
2024-08-12,North,3.91,180,Medium
2024-08-19,North,4.06,200,Medium
2024-08-26,North,3.47,142,Medium
2024-09-02,North,3.9,154,Medium
2024-09-09,North,3.46,187,Medium
2024-09-16,North,3.73,169,Medium
2024-09-23,North,3.95,214,Medium
2024-09-30,North,3.33,128,Medium
2024-10-07,North,2.81,109,Low
2024-10-14,North,3.3,154,Medium
2024-10-21,North,4.01,155,Medium
2024-10-28,North,3.26,145,Medium
2024-11-04,North,3.99,198,Medium
2024-11-11,North,3.3,142,Medium
2024-11-18,North,3.54,159,Medium
2024-11-25,North,3.62,144,Medium
2024-12-02,North,3.26,123,Medium
2024-12-09,North,3.55,164,Medium
2024-12-16,North,6.69,303,High
2024-12-23,North,7.0,366,High
2024-12-30,North,6.83,296,High
2025-01-06,North,5.81,268,High
2025-01-13,North,5.83,244,High
2025-01-20,North,10.83,583,Very High
2025-01-27,North,9.58,439,Very High
2025-02-03,North,9.23,374,Very High
2025-02-10,North,8.31,335,Very High
2025-02-17,North,7.28,277,High
2025-02-24,North,6.59,253,High
2025-03-03,North,5.02,243,Medium
2025-03-10,North,5.34,254,Medium
2025-03-17,North,4.19,219,Medium
2025-03-24,North,4.25,223,Medium
2025-03-31,North,4.63,188,Medium
2025-04-07,North,3.73,195,Medium
2025-04-14,North,3.77,202,Medium
2025-04-21,North,3.37,162,Medium
2025-04-28,North,4.32,190,Medium
2025-05-05,North,3.36,145,Medium
2025-05-12,North,3.89,187,Medium
2025-05-19,North,4.1,184,Medium
2025-05-26,North,3.93,154,Medium
2025-06-02,North,3.78,166,Medium
2025-06-09,North,3.69,150,Medium
2025-06-16,North,3.22,160,Medium
2025-06-23,North,4.27,185,Medium
2025-06-30,North,3.75,180,Medium
2025-07-07,North,3.67,148,Medium
2025-07-14,North,3.28,134,Medium
2025-07-21,North,3.69,202,Medium
2025-07-28,North,3.65,139,Medium
2025-08-04,North,4.29,205,Medium
2025-08-11,North,3.67,195,Medium
2025-08-18,North,3.68,173,Medium
2025-08-25,North,3.29,140,Medium
2025-09-01,North,3.4,163,Medium
2025-09-08,North,3.84,189,Medium
2025-09-15,North,3.04,116,Medium
2025-09-22,North,4.01,168,Medium
2025-09-29,North,4.02,170,Medium
2025-10-06,North,3.37,159,Medium
2025-10-13,North,3.79,187,Medium
2025-10-20,North,4.12,196,Medium
2025-10-27,North,3.62,198,Medium
2025-11-03,North,3.55,166,Medium
2025-11-10,North,3.59,185,Medium
2025-11-17,North,3.75,168,Medium
2025-11-24,North,3.45,183,Medium
2025-12-01,North,3.52,174,Medium
2025-12-08,North,3.76,204,Medium
2025-12-15,North,3.5,144,Medium
2025-12-22,North,6.86,315,High
2025-12-29,North,6.38,337,High
2026-01-05,North,4.53,211,Medium
2026-01-12,North,4.64,233,Medium
2026-01-19,North,7.47,356,High
2026-01-26,North,6.44,343,High
2026-02-02,North,5.97,307,High
2026-02-09,North,5.47,227,Medium
2026-02-16,North,5.59,214,High
2026-02-23,North,5.02,223,Medium
2026-03-02,North,4.46,236,Medium
2026-03-09,North,3.48,150,Medium
2026-03-16,North,4.23,202,Medium
2026-03-23,North,2.64,127,Low
2026-03-30,North,2.6,119,Low
2026-04-06,North,2.94,130,Low
2026-04-13,North,2.66,106,Low
2026-04-20,North,2.64,131,Low
2026-04-27,North,1.82,98,Low
2026-05-04,North,2.15,85,Low
2026-05-11,North,2.46,130,Low
2026-05-18,North,2.24,92,Low
2026-05-25,North,2.01,94,Low
2026-06-01,North,2.28,96,Low
2026-06-08,North,2.58,119,Low
2026-06-15,North,2.73,134,Low
2026-06-22,North,1.82,72,Low
2026-06-29,North,2.48,106,Low
2026-07-06,North,2.44,129,Low
2026-07-13,North,2.56,140,Low
2026-07-20,North,2.09,113,Low
2026-07-27,North,2.1,84,Low
2026-08-03,North,2.92,138,Low
2026-08-10,North,1.61,84,Low
2018-01-01,West,5.63,252,High
2018-01-08,West,5.8,296,High
2018-01-15,West,10.56,570,Very High
2018-01-22,West,10.08,536,Very High
2018-01-29,West,8.12,345,Very High
2018-02-05,West,7.32,300,High
2018-02-12,West,6.96,317,High
2018-02-19,West,5.79,289,High
2018-02-26,West,5.7,301,High
2018-03-05,West,4.38,206,Medium
2018-03-12,West,4.75,200,Medium
2018-03-19,West,3.83,206,Medium
2018-03-26,West,3.76,192,Medium
2018-04-02,West,3.51,162,Medium
2018-04-09,West,3.42,160,Medium
2018-04-16,West,3.34,134,Medium
2018-04-23,West,3.39,183,Medium
2018-04-30,West,3.78,205,Medium
2018-05-07,West,3.48,164,Medium
2018-05-14,West,2.96,125,Low
2018-05-21,West,3.69,147,Medium
2018-05-28,West,3.43,149,Medium
2018-06-04,West,3.53,162,Medium
2018-06-11,West,3.46,162,Medium
2018-06-18,West,3.48,190,Medium
2018-06-25,West,3.49,176,Medium
2018-07-02,West,2.76,111,Low
2018-07-09,West,3.53,154,Medium
2018-07-16,West,3.11,136,Medium
2018-07-23,West,3.19,155,Medium
2018-07-30,West,3.36,172,Medium
2018-08-06,West,3.93,210,Medium
2018-08-13,West,3.01,147,Medium
2018-08-20,West,3.35,183,Medium
2018-08-27,West,3.27,127,Medium
2018-09-03,West,3.68,148,Medium
2018-09-10,West,3.26,158,Medium
2018-09-17,West,3.44,184,Medium
2018-09-24,West,3.01,151,Medium
2018-10-01,West,3.75,184,Medium
2018-10-08,West,2.86,131,Low
2018-10-15,West,3.52,154,Medium
2018-10-22,West,3.44,170,Medium
2018-10-29,West,3.49,135,Medium
2018-11-05,West,2.87,152,Low
2018-11-12,West,3.25,160,Medium
2018-11-19,West,3.66,198,Medium
2018-11-26,West,3.99,201,Medium
2018-12-03,West,3.32,157,Medium
2018-12-10,West,3.63,169,Medium
2018-12-17,West,6.74,304,High
2018-12-24,West,6.5,285,High
2018-12-31,West,6.08,276,High
2019-01-07,West,5.6,221,High
2019-01-14,West,9.91,487,Very High
2019-01-21,West,9.35,358,Very High
2019-01-28,West,7.91,327,High
2019-02-04,West,7.34,386,High
2019-02-11,West,6.3,311,High
2019-02-18,West,5.89,251,High
2019-02-25,West,5.06,216,Medium
2019-03-04,West,4.72,252,Medium
2019-03-11,West,4.3,202,Medium
2019-03-18,West,3.09,167,Medium
2019-03-25,West,2.83,119,Low
2019-04-01,West,3.44,149,Medium
2019-04-08,West,3.76,168,Medium
2019-04-15,West,3.12,119,Medium
2019-04-22,West,3.07,162,Medium
2019-04-29,West,3.59,163,Medium
2019-05-06,West,3.52,184,Medium
2019-05-13,West,2.9,136,Low
2019-05-20,West,3.47,169,Medium
2019-05-27,West,2.96,124,Low
2019-06-03,West,3.04,163,Medium
2019-06-10,West,2.89,157,Low
2019-06-17,West,2.79,142,Low
2019-06-24,West,3.26,150,Medium
2019-07-01,West,2.74,115,Low
2019-07-08,West,3.28,140,Medium
2019-07-15,West,3.27,156,Medium
2019-07-22,West,3.17,132,Medium
2019-07-29,West,3.07,161,Medium
2019-08-05,West,3.0,114,Medium
2019-08-12,West,2.85,146,Low
2019-08-19,West,3.73,150,Medium
2019-08-26,West,3.16,126,Medium
2019-09-02,West,3.15,172,Medium
2019-09-09,West,2.91,118,Low
2019-09-16,West,3.69,178,Medium
2019-09-23,West,3.02,165,Medium
2019-09-30,West,3.31,133,Medium
2019-10-07,West,3.38,143,Medium
2019-10-14,West,3.26,160,Medium
2019-10-21,West,2.74,142,Low
2019-10-28,West,3.45,156,Medium
2019-11-04,West,3.02,140,Medium
2019-11-11,West,3.5,172,Medium
2019-11-18,West,3.0,164,Low
2019-11-25,West,3.2,126,Medium
2019-12-02,West,3.4,185,Medium
2019-12-09,West,3.66,167,Medium
2019-12-16,West,6.65,258,High
2019-12-23,West,6.48,285,High
2019-12-30,West,6.27,326,High
2020-01-06,West,4.19,188,Medium
2020-01-13,West,7.99,405,High
2020-01-20,West,7.16,331,High
2020-01-27,West,6.59,266,High
2020-02-03,West,6.05,239,High
2020-02-10,West,5.23,246,Medium
2020-02-17,West,4.38,170,Medium
2020-02-24,West,4.16,189,Medium
2020-03-02,West,3.61,139,Medium
2020-03-09,West,3.23,167,Medium
2020-03-16,West,3.02,122,Medium
2020-03-23,West,2.13,110,Low
2020-03-30,West,2.64,137,Low
2020-04-06,West,3.14,140,Medium
2020-04-13,West,3.05,129,Medium
2020-04-20,West,2.59,120,Low
2020-04-27,West,2.56,117,Low
2020-05-04,West,1.74,72,Low
2020-05-11,West,2.36,119,Low
2020-05-18,West,2.79,110,Low
2020-05-25,West,2.41,98,Low
2020-06-01,West,2.91,130,Low
2020-06-08,West,2.88,116,Low
2020-06-15,West,2.35,107,Low
2020-06-22,West,2.59,136,Low
2020-06-29,West,3.06,161,Medium
2020-07-06,West,2.05,85,Low
2020-07-13,West,2.42,103,Low
2020-07-20,West,2.02,96,Low
2020-07-27,West,2.25,116,Low
2020-08-03,West,3.18,122,Medium
2020-08-10,West,2.42,116,Low
2020-08-17,West,1.88,79,Low
2020-08-24,West,2.2,111,Low
2020-08-31,West,1.99,94,Low
2020-09-07,West,2.6,110,Low
2020-09-14,West,2.69,116,Low
2020-09-21,West,2.85,140,Low
2020-09-28,West,2.77,105,Low
2020-10-05,West,2.07,109,Low
2020-10-12,West,2.68,109,Low
2020-10-19,West,2.5,114,Low
2020-10-26,West,2.9,156,Low
2020-11-02,West,2.81,117,Low
2020-11-09,West,3.23,133,Medium
2020-11-16,West,2.22,92,Low
2020-11-23,West,2.18,90,Low
2020-11-30,West,2.38,97,Low
2020-12-07,West,2.51,132,Low
2020-12-14,West,4.85,214,Medium
2020-12-21,West,4.69,206,Medium
2020-12-28,West,4.9,236,Medium
2021-01-04,West,4.67,247,Medium
2021-01-11,West,4.24,168,Medium
2021-01-18,West,7.37,294,High
2021-01-25,West,6.49,260,High
2021-02-01,West,7.07,359,High
2021-02-08,West,6.34,297,High
2021-02-15,West,5.48,212,Medium
2021-02-22,West,4.77,207,Medium
2021-03-01,West,3.85,184,Medium
2021-03-08,West,3.83,156,Medium
2021-03-15,West,2.92,135,Low
2021-03-22,West,3.12,139,Medium
2021-03-29,West,2.66,106,Low
2021-04-05,West,3.04,125,Medium
2021-04-12,West,3.32,175,Medium
2021-04-19,West,2.39,105,Low
2021-04-26,West,2.54,115,Low
2021-05-03,West,2.74,147,Low
2021-05-10,West,2.08,92,Low
2021-05-17,West,2.16,98,Low
2021-05-24,West,3.24,148,Medium
2021-05-31,West,2.81,133,Low
2021-06-07,West,2.49,109,Low
2021-06-14,West,2.69,106,Low
2021-06-21,West,2.54,127,Low
2021-06-28,West,2.74,114,Low
2021-07-05,West,2.55,129,Low
2021-07-12,West,2.67,138,Low
2021-07-19,West,2.94,141,Low
2021-07-26,West,2.91,113,Low
2021-08-02,West,3.21,143,Medium
2021-08-09,West,2.84,135,Low
2021-08-16,West,2.71,104,Low
2021-08-23,West,3.27,155,Medium
2021-08-30,West,2.63,133,Low
2021-09-06,West,1.95,90,Low
2021-09-13,West,2.98,113,Low
2021-09-20,West,2.79,121,Low
2021-09-27,West,2.7,119,Low
2021-10-04,West,2.99,127,Low
2021-10-11,West,2.55,130,Low
2021-10-18,West,1.96,92,Low
2021-10-25,West,3.0,163,Medium
2021-11-01,West,2.47,101,Low
2021-11-08,West,2.37,125,Low
2021-11-15,West,1.98,102,Low
2021-11-22,West,2.97,141,Low
2021-11-29,West,1.84,88,Low
2021-12-06,West,3.14,138,Medium
2021-12-13,West,5.29,211,Medium
2021-12-20,West,5.63,294,High
2021-12-27,West,5.3,228,Medium
2022-01-03,West,5.22,200,Medium
2022-01-10,West,4.39,201,Medium
2022-01-17,West,7.85,320,High
2022-01-24,West,6.71,298,High
2022-01-31,West,5.74,222,High
2022-02-07,West,5.96,279,High
2022-02-14,West,4.42,178,Medium
2022-02-21,West,4.64,203,Medium
2022-02-28,West,3.49,188,Medium
2022-03-07,West,3.55,183,Medium
2022-03-14,West,3.8,149,Medium
2022-03-21,West,3.15,166,Medium
2022-03-28,West,2.7,122,Low
2022-04-04,West,2.82,108,Low
2022-04-11,West,2.43,133,Low
2022-04-18,West,3.39,130,Medium
2022-04-25,West,2.3,99,Low
2022-05-02,West,2.51,97,Low
2022-05-09,West,2.74,143,Low
2022-05-16,West,2.66,139,Low
2022-05-23,West,2.7,127,Low
2022-05-30,West,2.36,112,Low
2022-06-06,West,2.45,111,Low
2022-06-13,West,2.86,155,Low
2022-06-20,West,2.84,117,Low
2022-06-27,West,2.67,145,Low
2022-07-04,West,3.0,158,Medium
2022-07-11,West,2.87,149,Low
2022-07-18,West,2.83,147,Low
2022-07-25,West,1.98,79,Low
2022-08-01,West,2.67,126,Low
2022-08-08,West,2.6,138,Low
2022-08-15,West,3.05,152,Medium
2022-08-22,West,1.54,70,Low
2022-08-29,West,2.48,109,Low
2022-09-05,West,2.57,101,Low
2022-09-12,West,2.16,110,Low
2022-09-19,West,2.22,119,Low
2022-09-26,West,3.06,117,Medium
2022-10-03,West,2.7,112,Low
2022-10-10,West,3.19,133,Medium
2022-10-17,West,2.47,133,Low
2022-10-24,West,2.05,85,Low
2022-10-31,West,2.43,98,Low
2022-11-07,West,2.37,97,Low
2022-11-14,West,2.78,148,Low
2022-11-21,West,2.77,134,Low
2022-11-28,West,2.72,140,Low
2022-12-05,West,3.32,174,Medium
2022-12-12,West,2.98,130,Low
2022-12-19,West,4.73,198,Medium
2022-12-26,West,5.22,282,Medium
2023-01-02,West,6.9,352,High
2023-01-09,West,6.35,261,High
2023-01-16,West,11.67,572,Very High
2023-01-23,West,10.1,458,Very High
2023-01-30,West,9.83,494,Very High
2023-02-06,West,8.78,473,Very High
2023-02-13,West,7.22,287,High
2023-02-20,West,6.07,284,High
2023-02-27,West,5.84,265,High
2023-03-06,West,4.2,194,Medium
2023-03-13,West,5.14,232,Medium
2023-03-20,West,4.52,217,Medium
2023-03-27,West,4.66,227,Medium
2023-04-03,West,4.1,224,Medium
2023-04-10,West,4.43,236,Medium
2023-04-17,West,3.64,142,Medium
2023-04-24,West,3.99,195,Medium
2023-05-01,West,3.66,165,Medium
2023-05-08,West,3.75,197,Medium
2023-05-15,West,3.82,167,Medium
2023-05-22,West,3.91,193,Medium
2023-05-29,West,3.53,156,Medium
2023-06-05,West,3.94,204,Medium
2023-06-12,West,3.8,191,Medium
2023-06-19,West,3.31,137,Medium
2023-06-26,West,3.16,127,Medium
2023-07-03,West,4.18,203,Medium
2023-07-10,West,2.99,159,Low
2023-07-17,West,3.73,148,Medium
2023-07-24,West,3.27,132,Medium
2023-07-31,West,4.38,188,Medium
2023-08-07,West,3.98,211,Medium
2023-08-14,West,3.9,195,Medium
2023-08-21,West,3.5,154,Medium
2023-08-28,West,3.3,133,Medium
2023-09-04,West,3.85,166,Medium
2023-09-11,West,3.78,178,Medium
2023-09-18,West,3.41,133,Medium
2023-09-25,West,3.4,174,Medium
2023-10-02,West,3.38,175,Medium
2023-10-09,West,3.37,175,Medium
2023-10-16,West,3.56,157,Medium
