week_start_date,week_of_year,month,quarter,season,is_holiday
2019-03-11,11,3,1,Summer,0
2019-03-18,12,3,1,Summer,0
2019-03-25,13,3,1,Summer,0
2019-04-01,14,4,2,Summer,0
2019-04-08,15,4,2,Summer,0
2019-04-15,16,4,2,Summer,0
2019-04-22,17,4,2,Summer,0
2019-04-29,18,4,2,Summer,0
2019-05-06,19,5,2,Summer,0
2019-05-13,20,5,2,Summer,0
2019-05-20,21,5,2,Summer,0
2019-05-27,22,5,2,Summer,0
2019-06-03,23,6,2,Summer,0
2019-06-10,24,6,2,Summer,0
2019-06-17,25,6,2,Summer,0
2019-06-24,26,6,2,Summer,0
2019-07-01,27,7,3,Monsoon,0
2019-07-08,28,7,3,Monsoon,0
2019-07-15,29,7,3,Monsoon,0
2019-07-22,30,7,3,Monsoon,0
2019-07-29,31,7,3,Monsoon,0
2019-08-05,32,8,3,Monsoon,0
2019-08-12,33,8,3,Monsoon,0
2019-08-19,34,8,3,Monsoon,0
2019-08-26,35,8,3,Monsoon,0
2019-09-02,36,9,3,Monsoon,0
2019-09-09,37,9,3,Monsoon,0
2019-09-16,38,9,3,Monsoon,0
2019-09-23,39,9,3,Monsoon,0
2019-09-30,40,9,3,Monsoon,0
2019-10-07,41,10,4,Autumn,1
2019-10-14,42,10,4,Autumn,1
2019-10-21,43,10,4,Autumn,0
2019-10-28,44,10,4,Autumn,0
2019-11-04,45,11,4,Autumn,1
2019-11-11,46,11,4,Autumn,1
2019-11-18,47,11,4,Autumn,0
2019-11-25,48,11,4,Autumn,0
2019-12-02,49,12,4,Winter,0
2019-12-09,50,12,4,Winter,0
2019-12-16,51,12,4,Winter,0
2019-12-23,52,12,4,Winter,0
2019-12-30,1,12,4,Winter,0
2020-01-06,2,1,1,Winter,1
2020-01-13,3,1,1,Winter,0
2020-01-20,4,1,1,Winter,0
2020-01-27,5,1,1,Winter,0
2020-02-03,6,2,1,Winter,0
2020-02-10,7,2,1,Winter,0
2020-02-17,8,2,1,Winter,0
2020-02-24,9,2,1,Winter,0
2020-03-02,10,3,1,Summer,0
2020-03-09,11,3,1,Summer,0
2020-03-16,12,3,1,Summer,0
2020-03-23,13,3,1,Summer,0
2020-03-30,14,3,1,Summer,0
2020-04-06,15,4,2,Summer,0
2020-04-13,16,4,2,Summer,0
2020-04-20,17,4,2,Summer,0
2020-04-27,18,4,2,Summer,0
2020-05-04,19,5,2,Summer,0
2020-05-11,20,5,2,Summer,0
2020-05-18,21,5,2,Summer,0
2020-05-25,22,5,2,Summer,0
2020-06-01,23,6,2,Summer,0
2020-06-08,24,6,2,Summer,0
2020-06-15,25,6,2,Summer,0
2020-06-22,26,6,2,Summer,0
2020-06-29,27,6,2,Summer,0
2020-07-06,28,7,3,Monsoon,0
2020-07-13,29,7,3,Monsoon,0
2020-07-20,30,7,3,Monsoon,0
2020-07-27,31,7,3,Monsoon,0
2020-08-03,32,8,3,Monsoon,0
2020-08-10,33,8,3,Monsoon,0
2020-08-17,34,8,3,Monsoon,0
2020-08-24,35,8,3,Monsoon,0
2020-08-31,36,8,3,Monsoon,0
2020-09-07,37,9,3,Monsoon,0
2020-09-14,38,9,3,Monsoon,0
2020-09-21,39,9,3,Monsoon,0
2020-09-28,40,9,3,Monsoon,0
2020-10-05,41,10,4,Autumn,1
2020-10-12,42,10,4,Autumn,1
2020-10-19,43,10,4,Autumn,0
2020-10-26,44,10,4,Autumn,0
2020-11-02,45,11,4,Autumn,1
2020-11-09,46,11,4,Autumn,1
2020-11-16,47,11,4,Autumn,0
2020-11-23,48,11,4,Autumn,0
2020-11-30,49,11,4,Autumn,0
2020-12-07,50,12,4,Winter,0
2020-12-14,51,12,4,Winter,0
2020-12-21,52,12,4,Winter,0
2020-12-28,53,12,4,Winter,0
2021-01-04,1,1,1,Winter,1
2021-01-11,2,1,1,Winter,0
2021-01-18,3,1,1,Winter,0
2021-01-25,4,1,1,Winter,0
2021-02-01,5,2,1,Winter,0
2021-02-08,6,2,1,Winter,0
2021-02-15,7,2,1,Winter,0
2021-02-22,8,2,1,Winter,0
2021-03-01,9,3,1,Summer,0
2021-03-08,10,3,1,Summer,0
2021-03-15,11,3,1,Summer,0
2021-03-22,12,3,1,Summer,0
2021-03-29,13,3,1,Summer,0
2021-04-05,14,4,2,Summer,0
2021-04-12,15,4,2,Summer,0
2021-04-19,16,4,2,Summer,0
2021-04-26,17,4,2,Summer,0
2021-05-03,18,5,2,Summer,0
2021-05-10,19,5,2,Summer,0
2021-05-17,20,5,2,Summer,0
2021-05-24,21,5,2,Summer,0
2021-05-31,22,5,2,Summer,0
2021-06-07,23,6,2,Summer,0
2021-06-14,24,6,2,Summer,0
2021-06-21,25,6,2,Summer,0
2021-06-28,26,6,2,Summer,0
2021-07-05,27,7,3,Monsoon,0
2021-07-12,28,7,3,Monsoon,0
2021-07-19,29,7,3,Monsoon,0
2021-07-26,30,7,3,Monsoon,0
2021-08-02,31,8,3,Monsoon,0
2021-08-09,32,8,3,Monsoon,0
2021-08-16,33,8,3,Monsoon,0
2021-08-23,34,8,3,Monsoon,0
2021-08-30,35,8,3,Monsoon,0
2021-09-06,36,9,3,Monsoon,0
2021-09-13,37,9,3,Monsoon,0
2021-09-20,38,9,3,Monsoon,0
2021-09-27,39,9,3,Monsoon,0
2021-10-04,40,10,4,Autumn,1
2021-10-11,41,10,4,Autumn,1
2021-10-18,42,10,4,Autumn,0
2021-10-25,43,10,4,Autumn,0
2021-11-01,44,11,4,Autumn,1
2021-11-08,45,11,4,Autumn,1
2021-11-15,46,11,4,Autumn,0
2021-11-22,47,11,4,Autumn,0
2021-11-29,48,11,4,Autumn,0
2021-12-06,49,12,4,Winter,0
2021-12-13,50,12,4,Winter,0
2021-12-20,51,12,4,Winter,0
2021-12-27,52,12,4,Winter,0
2022-01-03,1,1,1,Winter,1
2022-01-10,2,1,1,Winter,0
2022-01-17,3,1,1,Winter,0
2022-01-24,4,1,1,Winter,0
2022-01-31,5,1,1,Winter,0
2022-02-07,6,2,1,Winter,0
2022-02-14,7,2,1,Winter,0
2022-02-21,8,2,1,Winter,0
2022-02-28,9,2,1,Winter,0
2022-03-07,10,3,1,Summer,0
2022-03-14,11,3,1,Summer,0
2022-03-21,12,3,1,Summer,0
2022-03-28,13,3,1,Summer,0
2022-04-04,14,4,2,Summer,0
2022-04-11,15,4,2,Summer,0
2022-04-18,16,4,2,Summer,0
2022-04-25,17,4,2,Summer,0
2022-05-02,18,5,2,Summer,0
2022-05-09,19,5,2,Summer,0
2022-05-16,20,5,2,Summer,0
2022-05-23,21,5,2,Summer,0
2022-05-30,22,5,2,Summer,0
2022-06-06,23,6,2,Summer,0
2022-06-13,24,6,2,Summer,0
2022-06-20,25,6,2,Summer,0
2022-06-27,26,6,2,Summer,0
2022-07-04,27,7,3,Monsoon,0
2022-07-11,28,7,3,Monsoon,0
2022-07-18,29,7,3,Monsoon,0
2022-07-25,30,7,3,Monsoon,0
2022-08-01,31,8,3,Monsoon,0
2022-08-08,32,8,3,Monsoon,0
2022-08-15,33,8,3,Monsoon,0
2022-08-22,34,8,3,Monsoon,0
2022-08-29,35,8,3,Monsoon,0
2022-09-05,36,9,3,Monsoon,0
2022-09-12,37,9,3,Monsoon,0
2022-09-19,38,9,3,Monsoon,0
2022-09-26,39,9,3,Monsoon,0
2022-10-03,40,10,4,Autumn,1
2022-10-10,41,10,4,Autumn,1
2022-10-17,42,10,4,Autumn,0
2022-10-24,43,10,4,Autumn,0
2022-10-31,44,10,4,Autumn,0
2022-11-07,45,11,4,Autumn,1
2022-11-14,46,11,4,Autumn,1
2022-11-21,47,11,4,Autumn,0
2022-11-28,48,11,4,Autumn,0
2022-12-05,49,12,4,Winter,0
2022-12-12,50,12,4,Winter,0
2022-12-19,51,12,4,Winter,0
2022-12-26,52,12,4,Winter,0
2023-01-02,1,1,1,Winter,1
2023-01-09,2,1,1,Winter,0
2023-01-16,3,1,1,Winter,0
2023-01-23,4,1,1,Winter,0
2023-01-30,5,1,1,Winter,0
2023-02-06,6,2,1,Winter,0
2023-02-13,7,2,1,Winter,0
2023-02-20,8,2,1,Winter,0
2023-02-27,9,2,1,Winter,0
2023-03-06,10,3,1,Summer,0
2023-03-13,11,3,1,Summer,0
2023-03-20,12,3,1,Summer,0
2023-03-27,13,3,1,Summer,0
2023-04-03,14,4,2,Summer,0
2023-04-10,15,4,2,Summer,0
2023-04-17,16,4,2,Summer,0
2023-04-24,17,4,2,Summer,0
2023-05-01,18,5,2,Summer,0
2023-05-08,19,5,2,Summer,0
2023-05-15,20,5,2,Summer,0
2023-05-22,21,5,2,Summer,0
2023-05-29,22,5,2,Summer,0
2023-06-05,23,6,2,Summer,0
2023-06-12,24,6,2,Summer,0
2023-06-19,25,6,2,Summer,0
2023-06-26,26,6,2,Summer,0
2023-07-03,27,7,3,Monsoon,0
2023-07-10,28,7,3,Monsoon,0
2023-07-17,29,7,3,Monsoon,0
2023-07-24,30,7,3,Monsoon,0
2023-07-31,31,7,3,Monsoon,0
2023-08-07,32,8,3,Monsoon,0
2023-08-14,33,8,3,Monsoon,0
2023-08-21,34,8,3,Monsoon,0
2023-08-28,35,8,3,Monsoon,0
2023-09-04,36,9,3,Monsoon,0
2023-09-11,37,9,3,Monsoon,0
2023-09-18,38,9,3,Monsoon,0
2023-09-25,39,9,3,Monsoon,0
2023-10-02,40,10,4,Autumn,1
2023-10-09,41,10,4,Autumn,1
2023-10-16,42,10,4,Autumn,0
2023-10-23,43,10,4,Autumn,0
2023-10-30,44,10,4,Autumn,0
2023-11-06,45,11,4,Autumn,1
2023-11-13,46,11,4,Autumn,1
2023-11-20,47,11,4,Autumn,0
2023-11-27,48,11,4,Autumn,0
2023-12-04,49,12,4,Winter,0
2023-12-11,50,12,4,Winter,0
2023-12-18,51,12,4,Winter,0
2023-12-25,52,12,4,Winter,0
2024-01-01,1,1,1,Winter,1
2024-01-08,2,1,1,Winter,0
2024-01-15,3,1,1,Winter,0
2024-01-22,4,1,1,Winter,0
2024-01-29,5,1,1,Winter,0
2024-02-05,6,2,1,Winter,0
2024-02-12,7,2,1,Winter,0
2024-02-19,8,2,1,Winter,0
2024-02-26,9,2,1,Winter,0
2024-03-04,10,3,1,Summer,0
2024-03-11,11,3,1,Summer,0
2024-03-18,12,3,1,Summer,0
2024-03-25,13,3,1,Summer,0
2024-04-01,14,4,2,Summer,0
2024-04-08,15,4,2,Summer,0
2024-04-15,16,4,2,Summer,0
2024-04-22,17,4,2,Summer,0
2024-04-29,18,4,2,Summer,0
2024-05-06,19,5,2,Summer,0
2024-05-13,20,5,2,Summer,0
2024-05-20,21,5,2,Summer,0
2024-05-27,22,5,2,Summer,0
2024-06-03,23,6,2,Summer,0
2024-06-10,24,6,2,Summer,0
2024-06-17,25,6,2,Summer,0
2024-06-24,26,6,2,Summer,0
2024-07-01,27,7,3,Monsoon,0
2024-07-08,28,7,3,Monsoon,0
2024-07-15,29,7,3,Monsoon,0
2024-07-22,30,7,3,Monsoon,0
2024-07-29,31,7,3,Monsoon,0
2024-08-05,32,8,3,Monsoon,0
2024-08-12,33,8,3,Monsoon,0
2024-08-19,34,8,3,Monsoon,0
2024-08-26,35,8,3,Monsoon,0
2024-09-02,36,9,3,Monsoon,0
2024-09-09,37,9,3,Monsoon,0
2024-09-16,38,9,3,Monsoon,0
2024-09-23,39,9,3,Monsoon,0
2024-09-30,40,9,3,Monsoon,0
2024-10-07,41,10,4,Autumn,1
2024-10-14,42,10,4,Autumn,1
2024-10-21,43,10,4,Autumn,0
2024-10-28,44,10,4,Autumn,0
2024-11-04,45,11,4,Autumn,1
2024-11-11,46,11,4,Autumn,1
2024-11-18,47,11,4,Autumn,0
2024-11-25,48,11,4,Autumn,0
2024-12-02,49,12,4,Winter,0
2024-12-09,50,12,4,Winter,0
2024-12-16,51,12,4,Winter,0
2024-12-23,52,12,4,Winter,0
2024-12-30,1,12,4,Winter,0
2025-01-06,2,1,1,Winter,1
2025-01-13,3,1,1,Winter,0
2025-01-20,4,1,1,Winter,0
2025-01-27,5,1,1,Winter,0
2025-02-03,6,2,1,Winter,0
2025-02-10,7,2,1,Winter,0
2025-02-17,8,2,1,Winter,0
2025-02-24,9,2,1,Winter,0
2025-03-03,10,3,1,Summer,0
2025-03-10,11,3,1,Summer,0
2025-03-17,12,3,1,Summer,0
2025-03-24,13,3,1,Summer,0
2025-03-31,14,3,1,Summer,0
2025-04-07,15,4,2,Summer,0
2025-04-14,16,4,2,Summer,0
2025-04-21,17,4,2,Summer,0
2025-04-28,18,4,2,Summer,0
2025-05-05,19,5,2,Summer,0
2025-05-12,20,5,2,Summer,0
2025-05-19,21,5,2,Summer,0
2025-05-26,22,5,2,Summer,0
2025-06-02,23,6,2,Summer,0
2025-06-09,24,6,2,Summer,0
2025-06-16,25,6,2,Summer,0
2025-06-23,26,6,2,Summer,0
2025-06-30,27,6,2,Summer,0
2025-07-07,28,7,3,Monsoon,0
2025-07-14,29,7,3,Monsoon,0
2025-07-21,30,7,3,Monsoon,0
2025-07-28,31,7,3,Monsoon,0
2025-08-04,32,8,3,Monsoon,0
2025-08-11,33,8,3,Monsoon,0
2025-08-18,34,8,3,Monsoon,0
2025-08-25,35,8,3,Monsoon,0
2025-09-01,36,9,3,Monsoon,0
2025-09-08,37,9,3,Monsoon,0
2025-09-15,38,9,3,Monsoon,0
2025-09-22,39,9,3,Monsoon,0
2025-09-29,40,9,3,Monsoon,0
2025-10-06,41,10,4,Autumn,1
2025-10-13,42,10,4,Autumn,1
2025-10-20,43,10,4,Autumn,0
2025-10-27,44,10,4,Autumn,0
2025-11-03,45,11,4,Autumn,1
2025-11-10,46,11,4,Autumn,1
2025-11-17,47,11,4,Autumn,0
2025-11-24,48,11,4,Autumn,0
2025-12-01,49,12,4,Winter,0
2025-12-08,50,12,4,Winter,0
2025-12-15,51,12,4,Winter,0
2025-12-22,52,12,4,Winter,0
2025-12-29,1,12,4,Winter,0
2026-01-05,2,1,1,Winter,1
2026-01-12,3,1,1,Winter,0
2026-01-19,4,1,1,Winter,0
2026-01-26,5,1,1,Winter,0
2026-02-02,6,2,1,Winter,0
2026-02-09,7,2,1,Winter,0
2026-02-16,8,2,1,Winter,0
2026-02-23,9,2,1,Winter,0
2026-03-02,10,3,1,Summer,0
2026-03-09,11,3,1,Summer,0
2026-03-16,12,3,1,Summer,0
2026-03-23,13,3,1,Summer,0
2026-03-30,14,3,1,Summer,0
2026-04-06,15,4,2,Summer,0
2026-04-13,16,4,2,Summer,0
2026-04-20,17,4,2,Summer,0
2026-04-27,18,4,2,Summer,0
2026-05-04,19,5,2,Summer,0
2026-05-11,20,5,2,Summer,0
2026-05-18,21,5,2,Summer,0
2026-05-25,22,5,2,Summer,0
2026-06-01,23,6,2,Summer,0
2026-06-08,24,6,2,Summer,0
2026-06-15,25,6,2,Summer,0
2026-06-22,26,6,2,Summer,0
2026-06-29,27,6,2,Summer,0
2026-07-06,28,7,3,Monsoon,0
2026-07-13,29,7,3,Monsoon,0
2026-07-20,30,7,3,Monsoon,0
2026-07-27,31,7,3,Monsoon,0
2026-08-03,32,8,3,Monsoon,0
2026-08-10,33,8,3,Monsoon,0
