sku_id,medicine_name,plant_id,region,criticality,flu_related,last_actual_qty,recent_avg,forecast_qty_4wk,forecast_lower90,forecast_upper90,demand_growth_pct,forecast_growth_pct,flu_signal_pct,demand_momentum_score,momentum_band,closing_stock,in_transit_stock,safety_stock,stock_cover_days,days_to_expiry,market_need_score,need_band
MED008,Amlodipine 5mg,PLANT_DEL,North,Critical,0,5899,5989.0,5823.608886489928,5176.297029936508,6470.920743043347,-6.260760682422914,-2.7615814578405677,0.0,53.7,Medium,17296,333,9244,80.60637469817004,347,62.6,High
MED008,Amlodipine 5mg,PLANT_CHE,South,Critical,0,4209,4351.75,4126.436673554984,3479.124817001564,4773.748530108403,-3.6424024356490454,-5.177533783995316,0.0,53.5,Medium,12375,259,6619,81.53475422419248,210,62.2,High
MED006,Insulin Glargine,PLANT_MUM,West,Critical,0,1995,2098.5,2017.0601107678667,1369.7482542144471,2664.3719673212863,-7.3203047366677705,-3.8808620077261513,0.0,46.5,Medium,5284,385,3382,75.4047929400077,123,61.7,High
MED002,Cetirizine 10mg,PLANT_BLR,South,Medium,1,4590,4790.25,4629.44051059366,3982.1286540402407,5276.75236714708,-5.790284515536914,-3.3570166360073004,9.78157644824312,57.9,High,8520,2964,4866,64.413831286442,626,60.3,High
MED006,Insulin Glargine,PLANT_BLR,South,Critical,0,1732,1839.75,1759.7782211121416,1112.466364558722,2407.090077665561,-1.6483271706686822,-4.346882939956971,0.0,62.6,High,5811,730,2769,99.46026033291064,510,59.6,High
MED002,Cetirizine 10mg,PLANT_CHE,South,Medium,1,3352,3866.5,3685.324499597,3038.0126430435807,4332.63635615042,-7.6987347815707805,-4.68577525935601,9.78157644824312,47.3,Medium,4543,3206,4064,55.77473571797469,680,59.4,High
MED007,Metformin 500mg,PLANT_DEL,North,Critical,0,7778,7027.5,6878.900403959459,6231.58854740604,7526.212260512879,-6.253126563281642,-2.114544233945795,0.0,55.9,High,20400,3634,11188,93.676599770087,449,59.1,High
MED012,Ibuprofen 400mg,PLANT_KOL,East,Medium,1,3772,3702.75,3405.2957455209585,2757.983888967539,4052.607602074378,-5.842339478703115,-8.033333454298603,18.02884615384615,45.6,Medium,7709,110,3785,61.12596836083496,366,57.1,High
MED005,Azithromycin 500mg,PLANT_MUM,West,High,1,4481,4540.25,4373.012171791872,3725.700315238452,5020.324028345292,-2.987838535638604,-3.683449770566117,0.90744101633393,61.1,High,15227,845,6865,98.03494322869308,169,55.5,High
MED001,Paracetamol 500mg,PLANT_DEL,North,Medium,1,9423,9694.25,9447.727535931555,8800.415679378139,10095.039392484976,-3.549398069843797,-2.542976136043991,-33.402275077559466,46.7,Medium,20000,3012,9949,67.26654611736085,482,55.5,High
MED008,Amlodipine 5mg,PLANT_BLR,South,Critical,0,7124,4872.5,4723.668588225107,4076.356731671687,5370.980444778526,-7.081333629978063,-3.0545184561291583,0.0,50.1,Medium,12046,5284,8032,99.15682932701102,667,55.3,High
MED008,Amlodipine 5mg,PLANT_KOL,East,Critical,0,3863,4380.0,4233.180624408639,3585.86876785522,4880.492480962059,-6.654590015451009,-3.3520405386155425,0.0,50.4,Medium,11839,3924,6742,100.35385628255477,554,55.0,Medium
MED006,Insulin Glargine,PLANT_DEL,North,Critical,0,1556,1608.25,1542.539193296345,895.2273367429256,2189.8510498497644,-7.305475504322767,-4.085857715134771,0.0,45.9,Medium,3925,1670,2517,98.00204795895749,218,54.2,Medium
MED007,Metformin 500mg,PLANT_CHE,South,Critical,0,5920,5302.75,5106.165002914812,4458.853146361393,5753.476859468232,-7.994274312483733,-3.707227327050827,0.0,45.0,Medium,18592,157,8247,97.7171712459689,107,54.0,Medium
MED007,Metformin 500mg,PLANT_MUM,West,Critical,0,7138,8071.25,7253.05267673039,6605.74082017697,7900.36453328381,-4.859433017033064,-10.137182261354932,0.0,33.1,Medium,16495,6895,11968,87.11476783108535,588,53.3,Medium
MED005,Azithromycin 500mg,PLANT_BLR,South,High,1,2751,2927.75,2718.610694501507,2071.298837948088,3365.9225510549268,-1.9288744975435361,-7.1433457603447295,9.78157644824312,56.8,High,8110,2122,4371,101.21199057905326,397,53.0,Medium
MED008,Amlodipine 5mg,PLANT_MUM,West,Critical,0,6684,6998.0,6640.559317106051,5993.247460552631,7287.8711736594705,-10.33952594490711,-5.107754828435969,0.0,33.1,Medium,21139,747,11132,87.82995108523109,621,53.0,Medium
MED003,Cough Syrup 100ml,PLANT_KOL,East,Medium,1,2337,2608.25,2266.914115565989,1619.60225901257,2914.225972119409,-4.54711802378774,-13.086777894527401,18.02884615384615,42.8,Medium,4410,1562,2623,72.38033363210742,244,52.4,Medium
MED010,ORS Sachet,PLANT_KOL,East,Medium,0,3466,3555.25,3373.492511177525,2726.180654624105,4020.8043677309447,-1.6369630876351606,-5.112368717318751,0.0,60.0,High,8805,3268,3635,96.55394192243376,402,50.6,Medium
MED011,Pantoprazole 40mg,PLANT_KOL,East,Medium,0,2535,2896.0,2865.1176775360423,2217.8058209826227,3512.429534089462,-4.592999313658197,-1.0663785381200874,0.0,64.7,High,8704,2495,2877,105.19358501853667,667,49.4,Medium
MED006,Insulin Glargine,PLANT_CHE,South,Critical,0,1546,1513.75,1478.3079695476788,830.9961129942593,2125.619826101098,-6.822262118491916,-2.3413397491211367,0.0,53.4,Medium,6032,699,2426,121.78788433041272,225,49.1,Medium
MED007,Metformin 500mg,PLANT_BLR,South,Critical,0,6709,7173.75,6681.854687352506,6034.542830799086,7329.166543905925,0.9699969504328082,-6.856878378079727,0.0,62.1,High,30553,2741,10472,133.11812986349597,20,48.5,Medium
MED005,Azithromycin 500mg,PLANT_KOL,East,High,1,2394,2739.75,2508.475446930655,1861.1635903772356,3155.7873034840745,-1.2939834274048223,-8.441447324367008,18.02884615384615,58.3,High,10078,991,4025,117.9393644701592,652,48.1,Medium
MED003,Cough Syrup 100ml,PLANT_MUM,West,Medium,1,4258,4184.25,4042.1467131072686,3394.834856553849,4689.458569660688,-2.7465184295647864,-3.3961471444758646,0.90744101633393,62.9,High,15043,1265,4166,107.75660333842048,296,48.0,Medium
MED004,Decongestant Nasal,PLANT_KOL,East,Low,1,1625,1808.5,1732.6090162413625,1085.297159687943,2379.920872794782,-4.982486865148858,-4.1963496687109485,18.02884615384615,61.5,High,5087,775,1844,90.62864069623753,70,48.0,Medium
MED011,Pantoprazole 40mg,PLANT_CHE,South,Medium,0,5101,4407.75,4014.020178400905,3366.7083218474854,4661.332034954325,-1.9664899729399183,-8.932671353844817,0.0,45.8,Medium,13991,242,4585,94.40709890775037,458,46.3,Medium
MED006,Insulin Glargine,PLANT_KOL,East,Critical,0,1114,1250.5,1179.9266973901067,532.6148408366872,1827.2385539435263,2.689386163005543,-5.643606766085029,0.0,71.3,High,5747,1005,1783,153.41631001349506,370,45.1,Medium
MED011,Pantoprazole 40mg,PLANT_BLR,South,Medium,0,3862,4091.5,3879.981208626822,3232.6693520734025,4527.293065180242,-0.7519708914493632,-5.169712608412023,0.0,62.5,High,16005,1331,3994,119.3325367067602,608,44.1,Medium
MED012,Ibuprofen 400mg,PLANT_MUM,West,Medium,1,5951,6114.0,5638.253430839353,4990.941574285934,6285.565287392773,-4.154256153002038,-7.781265442601352,0.90744101633393,43.4,Medium,17905,3838,6214,103.53277077030917,480,42.5,Medium
MED010,ORS Sachet,PLANT_DEL,North,Medium,0,4794,5484.5,5013.979386680065,4366.667530126645,5661.291243233484,1.6448130473057498,-8.57909769933331,0.0,58.2,High,21521,1341,5195,121.66144951064669,458,41.8,Medium
MED004,Decongestant Nasal,PLANT_MUM,West,Low,1,2299,2609.75,2452.429686526174,1805.1178299727544,3099.7415430795936,-3.429029572296396,-6.028175628846671,0.90744101633393,51.7,Medium,7845,1508,2609,102.30996687836014,475,40.8,Medium
MED011,Pantoprazole 40mg,PLANT_DEL,North,Medium,0,3800,4340.75,4158.418846163475,3511.1069896100557,4805.730702716895,-6.660574131813783,-4.2004527751316045,0.0,47.5,Medium,15060,2580,4492,113.70571784423178,491,40.6,Medium
MED004,Decongestant Nasal,PLANT_BLR,South,Low,1,1674,1663.5,1654.9153953789437,1007.6035388255242,2302.2272519323637,-6.052334337349401,-0.5160567851551736,9.78157644824312,66.8,High,7020,401,1699,119.6194080692995,154,40.5,Medium
MED012,Ibuprofen 400mg,PLANT_BLR,South,Medium,1,4390,4666.25,4390.894148263889,3743.5822917104697,5038.206004817309,-3.7026208983971993,-5.901009413042822,9.78157644824312,55.6,High,18921,1297,4700,122.89433126356694,339,40.5,Medium
MED007,Metformin 500mg,PLANT_KOL,East,Critical,0,4050,4414.75,4218.628387886002,3571.3165313325826,4865.940244439422,-2.901392961876839,-4.442417172297362,0.0,58.3,High,20475,3730,6606,153.86422797132616,425,40.4,Medium
MED004,Decongestant Nasal,PLANT_DEL,North,Low,1,1956,2341.5,2157.5502383293947,1510.238381775975,2804.8620948828143,2.0854526958291015,-7.856064987000014,-33.40227507755954,45.9,Medium,6178,1647,2248,97.5532324860129,262,40.3,Medium
MED009,Vitamin D3 60K,PLANT_BLR,South,Low,0,3466,3332.5,3020.185772678344,2372.873916124924,3667.4976292317633,-2.8921104392802506,-9.371769762090198,0.0,41.4,Medium,9664,1053,3411,94.87893181679402,561,39.6,Medium
MED005,Azithromycin 500mg,PLANT_DEL,North,High,1,3050,2998.25,2920.827506076718,2273.515649523298,3568.1393626301374,-8.494620921183134,-2.582256113508954,-33.402275077559565,31.1,Medium,11737,1151,4785,117.9309628122054,414,38.5,Medium
MED009,Vitamin D3 60K,PLANT_DEL,North,Low,0,3992,3856.75,3538.343462565312,2891.031606011892,4185.655319118731,-6.665187754608162,-8.25582517494491,0.0,33.5,Medium,8686,3367,4028,91.9447203025715,321,37.8,Medium
MED011,Pantoprazole 40mg,PLANT_MUM,West,Medium,0,4616,5104.25,4889.890430968235,4242.578574414815,5537.202287521654,-4.365544053585648,-4.199629113616402,0.0,54.6,Medium,20962,2800,5183,130.06262798286645,699,37.8,Medium
MED012,Ibuprofen 400mg,PLANT_CHE,South,Medium,1,4119,4140.25,4084.810820654667,3437.498964101248,4732.122677208086,-7.671293973351173,-1.3390297529215103,9.78157644824312,59.0,High,17643,3154,4299,136.51060587198282,253,37.3,Medium
MED010,ORS Sachet,PLANT_BLR,South,Medium,0,4361,4367.25,4162.69654442631,3515.38468787289,4810.008400979729,-4.363297930581408,-4.683804581228242,0.0,53.0,Medium,18343,1924,4498,130.15601647096983,190,37.2,Medium
MED010,ORS Sachet,PLANT_CHE,South,Medium,0,3366,3390.75,3244.00658319259,2596.6947266391703,3891.3184397460095,-4.921135646687698,-4.327756891761707,0.0,52.5,Medium,15933,4,3489,130.68654120386262,246,36.9,Medium
MED010,ORS Sachet,PLANT_MUM,West,Medium,0,5268,5405.25,5222.368246843473,4575.056390290053,5869.680103396892,-6.957095520204271,-3.3834097064248154,0.0,49.4,Medium,23256,2192,5669,130.21065690092107,130,36.0,Medium
MED004,Decongestant Nasal,PLANT_CHE,South,Low,1,1563,1684.0,1802.6845219876016,1155.3726654341822,2449.9963785410214,-7.679656448444421,7.047774464821945,9.78157644824312,64.0,High,8290,703,1734,133.2523783668744,93,35.1,Medium
MED009,Vitamin D3 60K,PLANT_CHE,South,Low,0,2506,2881.5,2770.7179417455977,2123.406085192178,3418.0297982990173,-9.908548500560169,-3.8445968507514237,0.0,38.6,Medium,11968,232,3062,117.24614588352338,570,31.4,Medium
MED009,Vitamin D3 60K,PLANT_MUM,West,Low,0,3983,3969.25,3716.717021066418,3069.4051645129985,4364.028877619838,-1.6274602945124812,-6.362234148355029,0.0,55.7,High,16965,2073,4026,137.03491471456266,158,30.9,Medium
MED012,Ibuprofen 400mg,PLANT_DEL,North,Medium,1,5385,5214.0,5081.097540423536,4433.785683870116,5728.409396976956,-5.817891710445105,-2.5489539619574995,-33.40227507755974,39.6,Medium,24089,2708,5322,141.03330910279422,546,29.0,Low
MED009,Vitamin D3 60K,PLANT_KOL,East,Low,0,2456,2288.25,2161.939130096845,1514.627273543426,2809.250986650265,-7.198621109195985,-5.519976833962853,0.0,41.2,Medium,9076,1315,2394,128.71037677528648,304,28.6,Low
MED003,Cough Syrup 100ml,PLANT_DEL,North,Medium,1,3112,3352.25,3247.6579705610798,2600.34611400766,3894.969827114499,-8.218302950101528,-3.1200545734632037,-33.402275077559516,30.1,Medium,17408,2551,3509,164.57767561885797,15,21.5,Low
