sku_id,plant_id,region,as_of_week,last_actual_qty,qty_roll_mean_4,qty_roll_mean_12,forecast_qty_4wk,forecast_lower90,forecast_upper90,ili_rate,flu_growth_4w,flu_related
MED006,PLANT_KOL,East,2026-08-10,1114,1250.5,1217.75,1179.9266973901067,532.6148408366872,1827.2385539435263,4.91,0.18028846153846154,0
MED009,PLANT_MUM,West,2026-08-10,3983,3969.25,4034.9166666666665,3716.717021066418,3069.4051645129985,4364.028877619838,2.78,0.00907441016333935,0
MED009,PLANT_DEL,North,2026-08-10,3992,3856.75,4132.166666666667,3538.3434625653117,2891.031606011892,4185.655319118731,1.61,-0.3340227507755967,0
MED009,PLANT_CHE,South,2026-08-10,2506,2881.5,3198.4166666666665,2770.7179417455977,2123.406085192178,3418.0297982990173,2.89,0.09781576448243126,0
MED009,PLANT_BLR,South,2026-08-10,3466,3332.5,3431.75,3020.1857726783437,2372.873916124924,3667.4976292317633,2.89,0.09781576448243126,0
MED008,PLANT_MUM,West,2026-08-10,6684,6998.0,7805.0,6640.559317106051,5993.247460552631,7287.8711736594705,2.78,0.00907441016333935,0
MED008,PLANT_KOL,East,2026-08-10,3863,4380.0,4692.25,4233.180624408639,3585.8687678552196,4880.492480962059,4.91,0.18028846153846154,0
MED008,PLANT_DEL,North,2026-08-10,5899,5989.0,6389.0,5823.6088864899275,5176.297029936508,6470.920743043347,1.61,-0.3340227507755964,0
MED008,PLANT_CHE,South,2026-08-10,4209,4351.75,4516.25,4126.436673554984,3479.124817001564,4773.748530108403,2.89,0.09781576448243126,0
MED008,PLANT_BLR,South,2026-08-10,7124,4872.5,5243.833333333333,4723.668588225107,4076.356731671687,5370.980444778526,2.89,0.09781576448243126,0
MED007,PLANT_MUM,West,2026-08-10,7138,8071.25,8483.5,7253.05267673039,6605.74082017697,7900.36453328381,2.78,0.00907441016333935,0
MED007,PLANT_KOL,East,2026-08-10,4050,4414.75,4546.666666666667,4218.628387886002,3571.3165313325826,4865.940244439422,4.91,0.18028846153846154,0
MED007,PLANT_DEL,North,2026-08-10,7778,7027.5,7496.25,6878.900403959459,6231.58854740604,7526.212260512879,1.61,-0.3340227507755962,0
MED007,PLANT_CHE,South,2026-08-10,5920,5302.75,5763.5,5106.165002914812,4458.853146361393,5753.476859468232,2.89,0.09781576448243126,0
MED009,PLANT_KOL,East,2026-08-10,2456,2288.25,2465.75,2161.9391300968455,1514.6272735434259,2809.250986650265,4.91,0.18028846153846154,0
MED012,PLANT_MUM,West,2026-08-10,5951,6114.0,6379.0,5638.253430839353,4990.941574285934,6285.565287392773,2.78,0.00907441016333935,1
